photo,material,unit,qty.,brand,specs photo,specs,condition,mrp,price purchased,price today,inventory value,inventory type
https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Wooden Door,pcs,5,Premium Wood Co.,,Solid oak door with brass handles and frame included,good,800,650,550,2750,surplus
https://images.unsplash.com/photo-1615971677499-5467cbab01c0?w=400,Ceramic Floor Tiles,sqft,250,TileMax,,Porcelain ceramic tiles - slip resistant and waterproof,like-new,12,10,8,2000,surplus
,Door Handle Set,pcs,15,SecureLock,,Stainless steel door handle with lock mechanism,new,45,38,32,480,surplus
https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=400,Bathroom Sink,pcs,3,AquaFix,,White porcelain pedestal sink with faucet,good,350,280,220,660,surplus
,Window Frame,pcs,8,ViewMaster,,Double-glazed aluminum window frame,fair,400,320,250,2000,surplus
https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400,LED Light Fixture,pcs,12,BrightLite,,Modern LED ceiling fixture - energy efficient,like-new,120,95,75,900,surplus
,Paint Primer,gallon,20,ColorPro,,High-quality interior wall primer,new,35,28,22,440,surplus
https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,Interior Door,pcs,7,WoodCraft,,Hollow core interior door with frame,good,180,150,125,875,surplus
,Toilet Seat,pcs,10,ComfortPlus,,Soft-close toilet seat with easy installation,new,65,50,40,400,surplus
https://images.unsplash.com/photo-1615971677499-5467cbab01c0?w=400,Marble Tiles,sqft,150,LuxStone,,Premium marble tiles for flooring,like-new,25,20,16,2400,surplus
,Electrical Switch,pcs,50,PowerSafe,,Standard wall switch with plate,new,8,6,5,250,surplus
https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=400,Kitchen Faucet,pcs,4,FlowMaster,,Stainless steel kitchen faucet with spray,good,180,145,115,460,surplus
,Vinyl Flooring,sqft,300,FlexFloor,,Luxury vinyl plank flooring,like-new,8,6,5,1500,surplus
,Ceiling Fan,pcs,6,AirFlow,,52-inch ceiling fan with light fixture,good,150,120,95,570,surplus
,Plumbing Pipe,ft,500,PipePro,,PVC plumbing pipe 3/4 inch diameter,new,2,1.5,1.2,600,surplus
